tokens,tokens_limpos,stems,lemmas,texto_limpo,sentimento
"['felca', 'com', 'dedo', 'de', 'pinto', 'e', 'o', 'hytalo', 'santos', 'com', 'um', 'cotoco', 'no', 'lugar', 'do', 'braço']","['felca', 'dedo', 'pinto', 'hytalo', 'santos', 'cotoco', 'lugar', 'braço']","['felc', 'ded', 'pint', 'hytal', 'sant', 'cotoc', 'lug', 'braç']","['felca', 'dedo', 'pinto', 'hytalo', 'santos', 'cotoco', 'lugar', 'braço']",felca dedo pinto hytalo santos cotoco lugar braço,NEU
"['vocês', 'passam', 'vergonha', 'dms', 'felca', 'não', 'é', 'político', 'caralho', 'cobrem', 'os', 'políticos', 'porra']","['passam', 'vergonha', 'dms', 'felca', 'político', 'caralho', 'cobrem', 'políticos', 'porra']","['pass', 'vergonh', 'dm', 'felc', 'polít', 'caralh', 'cobr', 'polít', 'porr']","['passam', 'vergonha', 'dm', 'felca', 'político', 'caralho', 'cobrem', 'políticos', 'porra']",passam vergonha dms felca político caralho cobrem políticos porra,NEG
"['daqui', 'a', 'pouquinho', 'se', 'o', 'felca', 'trouxer', 'a', 'mesma', 'pauta', 'aí', 'sim', 'todos', 'darão', 'ouvidos', 'igualmente', 'aconteceu', 'com', 'a', 'antônia', 'fontenele', 'que', 'já', 'havia', 'feito', 'a', 'denúncia', 'e', 'foi', 'processada']","['daqui', 'pouquinho', 'felca', 'trouxer', 'mesma', 'pauta', 'aí', 'sim', 'todos', 'darão', 'ouvidos', 'igualmente', 'aconteceu', 'antônia', 'fontenele', 'havia', 'feito', 'denúncia', 'processada']","['daqu', 'pouq', 'felc', 'troux', 'mesm', 'paut', 'aí', 'sim', 'tod', 'dar', 'ouv', 'igual', 'acontec', 'antôn', 'fontenel', 'hav', 'feit', 'denúnc', 'process']","['daqui', 'pouquinho', 'felca', 'trouxer', 'mesma', 'pauta', 'aí', 'sim', 'todos', 'darão', 'ouvidos', 'igualmente', 'aconteceu', 'antônia', 'fontenele', 'havia', 'feito', 'denúncia', 'processada']",daqui pouquinho felca trouxer mesma pauta aí sim todos darão ouvidos igualmente aconteceu antônia fontenele havia feito denúncia processada,NEU
"['parabéns', 'felca']","['parabéns', 'felca']","['parabém', 'felc']","['parabéns', 'felca']",parabéns felca,POS
"['grafiteiros', 'homenageiam', 'felca', 'em', 'muro', 'de', 'escola', 'pública', 'de', 'são', 'paulo', 'sp', 'com', 'grafite', 'do', 'influenciador', 'ao', 'lado', 'da', 'fras']","['grafiteiros', 'homenageiam', 'felca', 'muro', 'escola', 'pública', 'paulo', 'sp', 'grafite', 'influenciador', 'lado', 'fras']","['grafit', 'homenage', 'felc', 'mur', 'escol', 'públic', 'paul', 'sp', 'grafit', 'influenci', 'lad', 'fra']","['grafiteiros', 'homenageiam', 'felca', 'muro', 'escola', 'pública', 'paulo', 'sp', 'grafite', 'influenciador', 'lado', 'fras']",grafiteiros homenageiam felca muro escola pública paulo sp grafite influenciador lado fras,NEU
"['que', 'mulher', 'ridicula', 'dps', 'sofre', 'uma', 'violencia', 'e', 'ai', 'fica', 'aiin', 'coitadinha', 'felca', 'fala', 'sobre', 'a', 'mãe', 'que', 'defendeu', 'o', 'bullying', 'do', 'filho', 'via']","['mulher', 'ridicula', 'dps', 'sofre', 'violencia', 'ai', 'fica', 'aiin', 'coitadinha', 'felca', 'fala', 'sobre', 'mãe', 'defendeu', 'bullying', 'filho', 'via']","['mulh', 'ridicul', 'dp', 'sofr', 'violenc', 'ai', 'fic', 'aiin', 'coit', 'felc', 'fal', 'sobr', 'mãe', 'defend', 'bullying', 'filh', 'via']","['mulher', 'ridicula', 'dp', 'sofre', 'violencia', 'ai', 'fica', 'aiin', 'coitadinha', 'felca', 'fala', 'sobre', 'mãe', 'defendeu', 'bullying', 'filho', 'via']",mulher ridicula dps sofre violencia ai fica aiin coitadinha felca fala sobre mãe defendeu bullying filho via,NEG
"['o', 'fato', 'de', 'chamarem', 'o', 'felca', 'em', 'vez', 'de', 'um', 'psicólogo', 'pedagogo', 'ou', 'assistente', 'social']","['fato', 'chamarem', 'felca', 'vez', 'psicólogo', 'pedagogo', 'assistente', 'social']","['fat', 'cham', 'felc', 'vez', 'psicólog', 'pedagog', 'assist', 'soc']","['fato', 'chamarem', 'felca', 'vez', 'psicólogo', 'pedagogo', 'assistente', 'social']",fato chamarem felca vez psicólogo pedagogo assistente social,NEU
"['que', 'país', 'de', 'merda', 'grafite', 'e', 'felca', 'duas', 'coisas', 'de', 'bostileiro', 'qi']","['país', 'merda', 'grafite', 'felca', 'duas', 'coisas', 'bostileiro', 'qi']","['país', 'merd', 'grafit', 'felc', 'dua', 'cois', 'bostil', 'qi']","['país', 'merda', 'grafite', 'felca', 'duas', 'coisas', 'bostileiro', 'qi']",país merda grafite felca duas coisas bostileiro qi,NEG
"['nao', 'sei', 'o', 'pensar', 'sobre', 'isso', 'ao', 'mesmo', 'tempo', 'que', 'acho', 'que', 'figuras', 'publicas', 'nao', 'deveriam', 'processar', 'pessoas', 'comuns', 'random', 'falando', 'mal', 'deles', 'na', 'internet', 'e', 'inventando', 'historias', 'tb', 'se', 'eu', 'fosse', 'o', 'felca', 'nao', 'ia', 'querer', 'ser', 'chamado', 'de', 'abusador', 'de', 'menor']","['nao', 'sei', 'pensar', 'sobre', 'tempo', 'acho', 'figuras', 'publicas', 'nao', 'deveriam', 'processar', 'pessoas', 'comuns', 'random', 'falando', 'mal', 'internet', 'inventando', 'historias', 'tb', 'felca', 'nao', 'ia', 'querer', 'chamado', 'abusador', 'menor']","['nao', 'sei', 'pens', 'sobr', 'temp', 'ach', 'figur', 'publ', 'nao', 'dev', 'process', 'pesso', 'comum', 'random', 'fal', 'mal', 'internet', 'invent', 'hist', 'tb', 'felc', 'nao', 'ia', 'quer', 'cham', 'abus', 'men']","['nao', 'sei', 'pensar', 'sobre', 'tempo', 'acho', 'figuras', 'publicas', 'nao', 'deveriam', 'processar', 'pessoas', 'comuns', 'random', 'falando', 'mal', 'internet', 'inventando', 'historias', 'tb', 'felca', 'nao', 'ia', 'querer', 'chamado', 'abusador', 'menor']",nao sei pensar sobre tempo acho figuras publicas nao deveriam processar pessoas comuns random falando mal internet inventando historias tb felca nao ia querer chamado abusador menor,NEG
"['pedagoga', 'encontra', 'felca', 'e', 'pede', 'que', 'ele', 'levante', 'a', 'pauta', 'da', 'desvalorização', 'dos', 'professores']","['pedagoga', 'encontra', 'felca', 'pede', 'levante', 'pauta', 'desvalorização', 'professores']","['pedagog', 'encontr', 'felc', 'ped', 'lev', 'paut', 'desvalor', 'profes']","['pedagoga', 'encontra', 'felca', 'pede', 'levante', 'pauta', 'desvalorização', 'professores']",pedagoga encontra felca pede levante pauta desvalorização professores,NEU
"['veja', 'grafiteiros', 'prestam', 'homenagem', 'a', 'felca', 'em', 'um', 'muro', 'de', 'escola', 'pública', 'em', 'são', 'paulo', 'estampando', 'a', 'frase', 'não', 'à', 'adultização']","['veja', 'grafiteiros', 'prestam', 'homenagem', 'felca', 'muro', 'escola', 'pública', 'paulo', 'estampando', 'frase', 'adultização']","['vej', 'grafit', 'prest', 'homen', 'felc', 'mur', 'escol', 'públic', 'paul', 'estamp', 'fras', 'adult']","['veja', 'grafiteiros', 'prestam', 'homenagem', 'felca', 'muro', 'escola', 'pública', 'paulo', 'estampando', 'frase', 'adultização']",veja grafiteiros prestam homenagem felca muro escola pública paulo estampando frase adultização,NEU
"['e', 'é', 'contra', 'o', 'pl', 'da', 'adultização']","['contra', 'pl', 'adultização']","['contr', 'pl', 'adult']","['contra', 'pl', 'adultização']",contra pl adultização,NEG
"['o', 'fato', 'de', 'chamarem', 'o', 'felca', 'em', 'vez', 'de', 'um', 'psicólogo', 'pedagogo', 'ou', 'assistente', 'social']","['fato', 'chamarem', 'felca', 'vez', 'psicólogo', 'pedagogo', 'assistente', 'social']","['fat', 'cham', 'felc', 'vez', 'psicólog', 'pedagog', 'assist', 'soc']","['fato', 'chamarem', 'felca', 'vez', 'psicólogo', 'pedagogo', 'assistente', 'social']",fato chamarem felca vez psicólogo pedagogo assistente social,NEU
"['o', 'felca', 'fodeu', 'ele', 'levantou', 'outro', 'tema', 'e', 'esqueceram', 'ele', 'preso']","['felca', 'fodeu', 'levantou', 'outro', 'tema', 'esqueceram', 'preso']","['felc', 'fod', 'levant', 'outr', 'tem', 'esquec', 'pres']","['felca', 'fodeu', 'levantou', 'outro', 'tema', 'esqueceram', 'preso']",felca fodeu levantou outro tema esqueceram preso,NEU
"['pedagoga', 'encontra', 'felca', 'e', 'pede', 'que', 'ele', 'levante', 'a', 'pauta', 'da', 'desvalorização', 'dos', 'professores']","['pedagoga', 'encontra', 'felca', 'pede', 'levante', 'pauta', 'desvalorização', 'professores']","['pedagog', 'encontr', 'felc', 'ped', 'lev', 'paut', 'desvalor', 'profes']","['pedagoga', 'encontra', 'felca', 'pede', 'levante', 'pauta', 'desvalorização', 'professores']",pedagoga encontra felca pede levante pauta desvalorização professores,NEU
"['o', 'felca', 'fodeu', 'ele', 'levantou', 'outro', 'tema', 'e', 'esqueceram', 'ele', 'preso']","['felca', 'fodeu', 'levantou', 'outro', 'tema', 'esqueceram', 'preso']","['felc', 'fod', 'levant', 'outr', 'tem', 'esquec', 'pres']","['felca', 'fodeu', 'levantou', 'outro', 'tema', 'esqueceram', 'preso']",felca fodeu levantou outro tema esqueceram preso,NEU
"['o', 'felca', 'fodeu', 'ele', 'levantou', 'outro', 'tema', 'e', 'esqueceram', 'ele', 'preso']","['felca', 'fodeu', 'levantou', 'outro', 'tema', 'esqueceram', 'preso']","['felc', 'fod', 'levant', 'outr', 'tem', 'esquec', 'pres']","['felca', 'fodeu', 'levantou', 'outro', 'tema', 'esqueceram', 'preso']",felca fodeu levantou outro tema esqueceram preso,NEU
"['o', 'fato', 'de', 'chamarem', 'o', 'felca', 'em', 'vez', 'de', 'um', 'psicólogo', 'pedagogo', 'ou', 'assistente', 'social']","['fato', 'chamarem', 'felca', 'vez', 'psicólogo', 'pedagogo', 'assistente', 'social']","['fat', 'cham', 'felc', 'vez', 'psicólog', 'pedagog', 'assist', 'soc']","['fato', 'chamarem', 'felca', 'vez', 'psicólogo', 'pedagogo', 'assistente', 'social']",fato chamarem felca vez psicólogo pedagogo assistente social,NEU
"['o', 'fato', 'de', 'chamarem', 'o', 'felca', 'em', 'vez', 'de', 'um', 'psicólogo', 'pedagogo', 'ou', 'assistente', 'social']","['fato', 'chamarem', 'felca', 'vez', 'psicólogo', 'pedagogo', 'assistente', 'social']","['fat', 'cham', 'felc', 'vez', 'psicólog', 'pedagog', 'assist', 'soc']","['fato', 'chamarem', 'felca', 'vez', 'psicólogo', 'pedagogo', 'assistente', 'social']",fato chamarem felca vez psicólogo pedagogo assistente social,NEU
"['gravíssimo', 'o', 'mesmo', 'pt', 'que', 'diz', 'combater', 'a', 'adultização', 'é', 'o', 'pt', 'que', 'oferece', 'anticoncepcional', 'subdérmico', 'para', 'meninas', 'de']","['gravíssimo', 'pt', 'diz', 'combater', 'adultização', 'pt', 'oferece', 'anticoncepcional', 'subdérmico', 'meninas']","['grav', 'pt', 'diz', 'combat', 'adult', 'pt', 'oferec', 'anticoncepc', 'subdérm', 'menin']","['gravíssimo', 'pt', 'diz', 'combater', 'adultização', 'pt', 'oferece', 'anticoncepcional', 'subdérmico', 'meninas']",gravíssimo pt diz combater adultização pt oferece anticoncepcional subdérmico meninas,NEG
"['felca', 'você', 'é', 'muito', 'necessário']","['felca', 'necessário']","['felc', 'necess']","['felca', 'necessário']",felca necessário,NEU
"['é', 'só', 'inveja', 'pelo', 'hype', 'q', 'o', 'felca', 'recebeu', 'e', 'não', 'ele']","['inveja', 'hype', 'q', 'felca', 'recebeu']","['invej', 'hyp', 'q', 'felc', 'receb']","['inveja', 'hype', 'q', 'felca', 'recebeu']",inveja hype q felca recebeu,NEU
"['nunca', 'fui', 'com', 'a', 'cara', 'desse', 'felca', 'tá', 'visível', 'que', 'de', 'esquerda']","['nunca', 'cara', 'desse', 'felca', 'tá', 'visível', 'esquerda']","['nunc', 'car', 'dess', 'felc', 'tá', 'vis', 'esquerd']","['nunca', 'cara', 'desse', 'felca', 'tá', 'visível', 'esquerda']",nunca cara desse felca tá visível esquerda,NEU
"['o', 'felca', 'não', 'é', 'um', 'deus', 'não', 'é', 'um', 'homem', 'santificado', 'quem', 'deve', 'debater', 'sobre', 'essas', 'pautas', 'são', 'nossos', 'representantes', 'no', 'congresso', 'na', 'câmara', 'dos', 'deputados', 'e', 'no', 'stf']","['felca', 'deus', 'homem', 'santificado', 'deve', 'debater', 'sobre', 'pautas', 'representantes', 'congresso', 'câmara', 'deputados', 'stf']","['felc', 'deu', 'hom', 'santific', 'dev', 'debat', 'sobr', 'paut', 'represent', 'congress', 'câm', 'deput', 'stf']","['felca', 'deus', 'homem', 'santificado', 'deve', 'debater', 'sobre', 'pautas', 'representantes', 'congresso', 'câmara', 'deputados', 'stf']",felca deus homem santificado deve debater sobre pautas representantes congresso câmara deputados stf,POS
"['o', 'felca', 'de', 'touca', 'ficou', 'um', 'sabor']","['felca', 'touca', 'ficou', 'sabor']","['felc', 'touc', 'fic', 'sab']","['felca', 'touca', 'ficou', 'sabor']",felca touca ficou sabor,POS
"['gravíssimo', 'o', 'mesmo', 'pt', 'que', 'diz', 'combater', 'a', 'adultização', 'é', 'o', 'pt', 'que', 'oferece', 'anticoncepcional', 'subdérmico', 'para', 'meninas', 'de']","['gravíssimo', 'pt', 'diz', 'combater', 'adultização', 'pt', 'oferece', 'anticoncepcional', 'subdérmico', 'meninas']","['grav', 'pt', 'diz', 'combat', 'adult', 'pt', 'oferec', 'anticoncepc', 'subdérm', 'menin']","['gravíssimo', 'pt', 'diz', 'combater', 'adultização', 'pt', 'oferece', 'anticoncepcional', 'subdérmico', 'meninas']",gravíssimo pt diz combater adultização pt oferece anticoncepcional subdérmico meninas,NEG
"['o', 'felca', 'fodeu', 'ele', 'levantou', 'outro', 'tema', 'e', 'esqueceram', 'ele', 'preso']","['felca', 'fodeu', 'levantou', 'outro', 'tema', 'esqueceram', 'preso']","['felc', 'fod', 'levant', 'outr', 'tem', 'esquec', 'pres']","['felca', 'fodeu', 'levantou', 'outro', 'tema', 'esqueceram', 'preso']",felca fodeu levantou outro tema esqueceram preso,NEU
"['toda', 'vez', 'q', 'o', 'twitter', 'idealiza', 'alguém', 'lá', 'na', 'frente', 'quebra', 'a', 'cara', 'o', 'felca', 'não', 'vai', 'fugir', 'a', 'regra']","['toda', 'vez', 'q', 'twitter', 'idealiza', 'alguém', 'lá', 'frente', 'quebra', 'cara', 'felca', 'vai', 'fugir', 'regra']","['tod', 'vez', 'q', 'twitt', 'idealiz', 'alguém', 'lá', 'frent', 'quebr', 'car', 'felc', 'vai', 'fug', 'regr']","['toda', 'vez', 'q', 'twitter', 'idealiza', 'alguém', 'lá', 'frente', 'quebra', 'cara', 'felca', 'vai', 'fugir', 'regra']",toda vez q twitter idealiza alguém lá frente quebra cara felca vai fugir regra,NEG
"['o', 'secretário', 'de', 'políticas', 'digitais', 'da', 'presidência', 'da', 'república', 'joão', 'brant', 'avaliou', 'que', 'o', 'pl', 'da', 'adultização', 'que', 'estabel']","['secretário', 'políticas', 'digitais', 'presidência', 'república', 'joão', 'brant', 'avaliou', 'pl', 'adultização', 'estabel']","['secret', 'polít', 'digit', 'presid', 'repúbl', 'joã', 'brant', 'avali', 'pl', 'adult', 'estabel']","['secretário', 'políticas', 'digitais', 'presidência', 'república', 'joão', 'brant', 'avaliou', 'pl', 'adultização', 'estabel']",secretário políticas digitais presidência república joão brant avaliou pl adultização estabel,NEU
"['felca', 'faça', 'um', 'vídeo', 'sobre', 'a', 'falta', 'de', 'zagueiro', 'no', 'club', 'de', 'regatas', 'vasco', 'da', 'gama']","['felca', 'faça', 'vídeo', 'sobre', 'falta', 'zagueiro', 'club', 'regatas', 'vasco', 'gama']","['felc', 'faç', 'víde', 'sobr', 'falt', 'zagu', 'club', 'regat', 'vasc', 'gam']","['felca', 'faça', 'vídeo', 'sobre', 'falta', 'zagueiro', 'club', 'regatas', 'vasco', 'gama']",felca faça vídeo sobre falta zagueiro club regatas vasco gama,NEU
"['pedagoga', 'encontra', 'felca', 'e', 'pede', 'que', 'ele', 'levante', 'a', 'pauta', 'da', 'desvalorização', 'dos', 'professores']","['pedagoga', 'encontra', 'felca', 'pede', 'levante', 'pauta', 'desvalorização', 'professores']","['pedagog', 'encontr', 'felc', 'ped', 'lev', 'paut', 'desvalor', 'profes']","['pedagoga', 'encontra', 'felca', 'pede', 'levante', 'pauta', 'desvalorização', 'professores']",pedagoga encontra felca pede levante pauta desvalorização professores,NEU
"['o', 'fato', 'de', 'chamarem', 'o', 'felca', 'em', 'vez', 'de', 'um', 'psicólogo', 'pedagogo', 'ou', 'assistente', 'social']","['fato', 'chamarem', 'felca', 'vez', 'psicólogo', 'pedagogo', 'assistente', 'social']","['fat', 'cham', 'felc', 'vez', 'psicólog', 'pedagog', 'assist', 'soc']","['fato', 'chamarem', 'felca', 'vez', 'psicólogo', 'pedagogo', 'assistente', 'social']",fato chamarem felca vez psicólogo pedagogo assistente social,NEU
"['anos', 'felca', 'neles']","['anos', 'felca', 'neles']","['ano', 'felc', 'nel']","['ano', 'felca', 'neles']",anos felca neles,NEU
"['o', 'felca', 'fodeu', 'ele', 'levantou', 'outro', 'tema', 'e', 'esqueceram', 'ele', 'preso']","['felca', 'fodeu', 'levantou', 'outro', 'tema', 'esqueceram', 'preso']","['felc', 'fod', 'levant', 'outr', 'tem', 'esquec', 'pres']","['felca', 'fodeu', 'levantou', 'outro', 'tema', 'esqueceram', 'preso']",felca fodeu levantou outro tema esqueceram preso,NEU
"['o', 'fato', 'de', 'chamarem', 'o', 'felca', 'em', 'vez', 'de', 'um', 'psicólogo', 'pedagogo', 'ou', 'assistente', 'social']","['fato', 'chamarem', 'felca', 'vez', 'psicólogo', 'pedagogo', 'assistente', 'social']","['fat', 'cham', 'felc', 'vez', 'psicólog', 'pedagog', 'assist', 'soc']","['fato', 'chamarem', 'felca', 'vez', 'psicólogo', 'pedagogo', 'assistente', 'social']",fato chamarem felca vez psicólogo pedagogo assistente social,NEU
"['o', 'felca', 'fodeu', 'ele', 'levantou', 'outro', 'tema', 'e', 'esqueceram', 'ele', 'preso']","['felca', 'fodeu', 'levantou', 'outro', 'tema', 'esqueceram', 'preso']","['felc', 'fod', 'levant', 'outr', 'tem', 'esquec', 'pres']","['felca', 'fodeu', 'levantou', 'outro', 'tema', 'esqueceram', 'preso']",felca fodeu levantou outro tema esqueceram preso,NEU
"['felca', 'e', 'hytalo', 'santos', 'em', 'um', 'universo', 'paralelo']","['felca', 'hytalo', 'santos', 'universo', 'paralelo']","['felc', 'hytal', 'sant', 'univers', 'paralel']","['felca', 'hytalo', 'santos', 'universo', 'paralelo']",felca hytalo santos universo paralelo,NEU
"['o', 'fato', 'de', 'chamarem', 'o', 'felca', 'em', 'vez', 'de', 'um', 'psicólogo', 'pedagogo', 'ou', 'assistente', 'social']","['fato', 'chamarem', 'felca', 'vez', 'psicólogo', 'pedagogo', 'assistente', 'social']","['fat', 'cham', 'felc', 'vez', 'psicólog', 'pedagog', 'assist', 'soc']","['fato', 'chamarem', 'felca', 'vez', 'psicólogo', 'pedagogo', 'assistente', 'social']",fato chamarem felca vez psicólogo pedagogo assistente social,NEU
"['o', 'fato', 'de', 'chamarem', 'o', 'felca', 'em', 'vez', 'de', 'um', 'psicólogo', 'pedagogo', 'ou', 'assistente', 'social']","['fato', 'chamarem', 'felca', 'vez', 'psicólogo', 'pedagogo', 'assistente', 'social']","['fat', 'cham', 'felc', 'vez', 'psicólog', 'pedagog', 'assist', 'soc']","['fato', 'chamarem', 'felca', 'vez', 'psicólogo', 'pedagogo', 'assistente', 'social']",fato chamarem felca vez psicólogo pedagogo assistente social,NEU
"['o', 'felca', 'fodeu', 'ele', 'levantou', 'outro', 'tema', 'e', 'esqueceram', 'ele', 'preso']","['felca', 'fodeu', 'levantou', 'outro', 'tema', 'esqueceram', 'preso']","['felc', 'fod', 'levant', 'outr', 'tem', 'esquec', 'pres']","['felca', 'fodeu', 'levantou', 'outro', 'tema', 'esqueceram', 'preso']",felca fodeu levantou outro tema esqueceram preso,NEU
"['o', 'felca', 'fodeu', 'ele', 'levantou', 'outro', 'tema', 'e', 'esqueceram', 'ele', 'preso']","['felca', 'fodeu', 'levantou', 'outro', 'tema', 'esqueceram', 'preso']","['felc', 'fod', 'levant', 'outr', 'tem', 'esquec', 'pres']","['felca', 'fodeu', 'levantou', 'outro', 'tema', 'esqueceram', 'preso']",felca fodeu levantou outro tema esqueceram preso,NEU
"['o', 'fato', 'de', 'chamarem', 'o', 'felca', 'em', 'vez', 'de', 'um', 'psicólogo', 'pedagogo', 'ou', 'assistente', 'social']","['fato', 'chamarem', 'felca', 'vez', 'psicólogo', 'pedagogo', 'assistente', 'social']","['fat', 'cham', 'felc', 'vez', 'psicólog', 'pedagog', 'assist', 'soc']","['fato', 'chamarem', 'felca', 'vez', 'psicólogo', 'pedagogo', 'assistente', 'social']",fato chamarem felca vez psicólogo pedagogo assistente social,NEU
